9/1/2022,"APPLE.COM/BILL           866-712-7753 ON ",-79.09
9/2/2022,"LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ",-9.40
9/2/2022,"UBER* TRIP               TORONTO      ON ",-18.85
9/2/2022,"LOST LOVE                LONDON       ON  (APPLE PAY) ",-19.55
9/2/2022,"LOST LOVE                LONDON       ON  (APPLE PAY) ",-19.55
9/2/2022,"LOST LOVE                LONDON       ON  (APPLE PAY) ",-29.33
9/3/2022,"STATION PARK CONVENIENCE LONDON       ON  (APPLE PAY) ",-4.19
9/3/2022,"STARBUCKS 04955          LONDON       ON  (APPLE PAY) ",-5.59
9/3/2022,"Amazon Web Services      www.amazon.caON ",-13.91
9/4/2022,"UBER* TRIP               TORONTO      ON ",-9.89
9/4/2022,"AMZN Mktp CA*1V00F35G0   WWW.AMAZON.CAON ",-25.98
9/5/2022,"LONESTAR TEXAS GRILLLO   LONDON       ON  (APPLE PAY) ",-30.26
9/6/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-11.29
9/6/2022,"          FROM - *****00*5827 ",400.00
9/7/2022,"AMZN Mktp CA*1V46M8QW2   WWW.AMAZON.CAON ",-11.29
9/7/2022,"IVEY BUSINESS SCHOOL     LONDON       ON ",-14.10
9/7/2022,"FLYING SQUIRREL          LONDON       ON  (APPLE PAY) ",-29.95
9/7/2022,"AMZN Mktp CA*1V27C6QO2   WWW.AMAZON.CAON ",-49.66
9/8/2022,"IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ",-12.77
9/8/2022,"MARBLE SLAB CREAMERY     LONDON       ON  (APPLE PAY) ",-7.38
9/9/2022,"FAMOUS PLAYER 7422QPS    LONDON       ON  (APPLE PAY) ",-11.86
9/10/2022,"TIM HORTONS #0422        LONDON       ON  (APPLE PAY) ",-12.98
9/10/2022,"UBER CANADA/UBERTRIP     TORONTO      ON ",-13.14
9/10/2022,"UBER CANADA/UBERTRIP     TORONTO      ON ",-13.47
9/10/2022,"DENNYS DRIVE IN          GRAND BEND   ON  (APPLE PAY) ",-18.81
9/10/2022,"UBER CANADA/UBERTRIP     TORONTO      ON ",-18.83
9/10/2022,"LOBLAWS #27              LONDON       ON  (APPLE PAY) ",-41.85
9/11/2022,"Oculus                   650-5434800  CA ",-39.54
9/12/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-3.10
9/12/2022,"          FROM - *****00*5827 ",300.00
9/13/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-3.62
9/13/2022,"IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ",-8.19
9/14/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-3.10
9/14/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-4.14
9/15/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-3.10
9/15/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-6.43
9/15/2022,"IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ",-9.03
9/15/2022,"LOS LOBOS                LONDON       ON  (APPLE PAY) ",-20.78
